age,equipment,Arousal_1
32.900000,6,0.204739
31.980000,6,0.180427
32.600000,6,0.246470
32.240000,6,0.455840
32.230000,6,0.390219
31.070000,6,0.321950
31.560000,6,0.324507
30.700000,6,0.373522
30.610000,6,0.277573
30.470000,6,0.230109
30.010000,6,0.297019
30.300000,6,0.293466
29.560000,6,0.313023
29.745900,6,0.578511
29.940000,6,0.263352
29.500000,6,0.171313
29.570000,6,0.792780
28.810000,6,0.382611
38.270000,6,0.318290
28.070000,6,0.282690
26.920000,6,0.288835
26.370000,6,0.332016
25.470000,6,0.264730
27.010000,6,0.226930
25.340000,6,0.227495
24.400000,6,0.232843
25.150000,6,0.381812
24.930000,6,0.256633
24.810000,6,0.315075
24.740000,6,0.277696
17.540000,6,0.244841
23.830000,6,0.328660
22.920000,6,0.288259
22.270500,6,5.091139
22.140000,6,0.322256
22.090000,6,0.238004
32.410000,6,0.260647
21.190000,6,0.198426
21.270000,6,0.270719
21.560000,6,0.342226
20.590000,6,0.454223
20.330000,6,0.295119
20.390000,6,0.229801
20.480000,6,0.215800
20.150000,6,0.263377
20.450000,6,0.251416
20.080000,6,0.422721
19.250000,6,0.178382
19.400000,6,0.203986
19.860000,6,0.653428
18.760000,6,0.246800
18.900000,6,0.339710
18.610000,6,0.254877
18.290000,6,0.313730
18.400000,6,0.200558
17.800000,6,0.190187
62.090000,6,0.307896
42.040000,6,0.292214
41.820000,6,0.537882
41.010000,6,0.316429
40.570000,6,0.262746
36.150000,6,0.286100
35.340000,6,0.272275
35.550000,6,0.321247
31.350000,6,0.464269
31.010000,6,0.398983
30.950000,6,0.264951
28.100000,6,0.355456
26.780000,6,0.178940
23.800000,6,0.254108
52.100000,6,0.541658
47.220000,6,0.377714
47.220000,6,0.410111
31.630000,6,0.461745
26.930000,6,0.351203
22.000000,9,0.311376
39.000000,9,0.318669
34.000000,9,0.326330
30.000000,9,0.331458
22.000000,9,0.135263
34.000000,9,0.230138
29.000000,9,0.434268
27.000000,9,0.246221
41.000000,9,0.265406
24.000000,9,0.381558
40.000000,9,0.309892
45.000000,9,0.349643
45.000000,9,0.205690
34.000000,9,0.336477
28.000000,9,0.253201
34.000000,9,0.280805
30.000000,9,0.385138
28.000000,9,0.310506
41.000000,9,0.297627
31.000000,9,0.357936
38.000000,9,0.284604
13.640000,3,0.189600
9.570000,3,0.261582
15.520000,3,0.296882
15.250000,3,0.226570
8.940000,3,0.246173
10.210000,3,0.193866
13.190000,3,0.285527
15.410000,3,0.295401
14.160000,3,0.293227
15.300000,3,0.248895
12.780000,3,0.297402
16.000000,3,0.321686
13.980000,3,0.245037
7.520000,3,0.127802
10.920000,3,0.181539
13.930000,3,0.323700
15.240000,3,0.300457
8.830000,3,0.349929
10.510000,3,0.339939
10.390000,3,0.314078
7.090000,3,0.239916
9.710000,3,0.221237
10.750000,3,0.216384
12.710000,3,0.298919
10.160000,3,0.245596
15.990000,3,0.222223
8.490000,3,0.393103
11.530000,3,0.304962
9.830000,3,0.235962
11.960000,3,0.277160
10.810000,3,0.289843
14.680000,3,0.234952
9.290000,3,0.243459
13.100000,3,0.288096
7.120000,3,0.198835
12.580000,3,0.215107
11.460000,3,0.236651
12.450000,3,0.249454
11.210000,3,0.288221
7.270000,3,0.248453
9.600000,3,0.209227
9.490000,3,0.273637
10.860000,3,0.218145
11.760000,3,0.374706
14.190000,3,0.319406
14.030000,3,0.239373
12.190000,3,0.412799
9.790000,3,0.310638
11.830000,3,0.225535
12.630000,3,0.259883
11.460000,3,0.210150
10.170000,3,0.245757
12.980000,3,0.257937
12.960000,3,0.341191
11.360000,3,0.424417
10.150000,3,0.478135
10.910000,3,0.264149
14.040000,3,0.202467
14.420000,3,0.206066
9.330000,3,0.263465
12.470000,3,0.194652
10.350000,3,0.267803
9.450000,3,0.299267
12.490000,3,0.259455
9.510000,3,0.334094
8.170000,3,0.404856
6.380000,3,0.161336
8.500000,3,0.140434
7.830000,3,0.276336
13.940000,3,0.305319
13.810000,3,0.238973
11.590000,3,0.255742
6.510000,3,0.195552
6.430000,3,0.104116
9.690000,3,0.301597
8.160000,3,0.288253
10.570000,3,0.394266
14.920000,3,0.237170
8.580000,3,0.283105
9.060000,3,0.205269
13.410000,3,0.271689
10.200000,3,0.177619
6.570000,3,0.149617
12.400000,3,0.347246
11.270000,3,0.250792
9.670000,3,0.330975
12.740000,3,0.161668
10.210000,3,0.247398
8.160000,3,0.182289
7.090000,3,0.291762
11.480000,3,0.363597
7.630000,3,0.217909
7.870000,3,0.416715
6.470000,3,0.213092
13.830000,3,0.229375
8.350000,3,0.254199
12.530000,3,0.331642
7.280000,3,0.173733
11.280000,3,0.227546
11.100000,3,0.325843
7.430000,3,0.263039
13.320000,3,0.381798
9.880000,3,0.273122
11.320000,3,0.375610
7.500000,3,0.171989
8.290000,3,0.330130
16.120000,3,0.363773
10.100000,3,0.317452
11.040000,3,0.339875
10.180000,3,0.210187
8.880000,3,0.187798
10.750000,3,0.225513
12.960000,3,0.285679
10.940000,3,0.224753
10.050000,3,0.285298
